idx,source,model,question,reference,generated,latency_s,error,rouge1_f,rouge2_f,rougeL_f,bertscore_p,bertscore_r,bertscore_f1
19,bioasq,QLoRA Llama-3.2,Which molecule is targeted by the drug Gevokizumab?,Gevokizumab is an allosteric anti-IL-1β monoclonal antibody.,Gevokizumab is a monoclonal antibody that targets interleukin-23 (IL-23). It was approved in 2014 for the treatment of moderate-to-severe plaque psoriasis.,0.27037689997814596,,0.29411764705882354,0.125,0.23529411764705882,0.83944225,0.9312618,0.88297135
20,drugbank-description,GPT-5.5,What is Dicyclomine?,"Dicyclomine is a muscarinic M1, M3, and M2 receptor antagonist as well as a non-competitive inhibitor of histamine and bradykinin used to treat spasms of the intestines seen in functional bowel disorder and irritable bowel syndrome. Though it is commonly prescribed, its recommendation may have been based on a small amount of evidence and so its prescription is becoming less favourable.

Dicyclomine was granted FDA approval on 11 May 1950.","Dicyclomine, also known as dicycloverine, is an antispasmodic medication used to treat symptoms of irritable bowel syndrome (IBS), such as abdominal cramping and intestinal spasms.

It works by blocking acetylcholine activity on smooth muscle in the gut, helping relax bowel muscles and reduce cramping. Common side effects include dry mouth, dizziness, blurred vision, nausea, constipation, and drowsiness.",3.755132699996466,,0.328125,0.06349206349206349,0.1875,0.829034,0.8250344,0.82702935
20,drugbank-description,QLoRA Qwen,What is Dicyclomine?,"Dicyclomine is a muscarinic M1, M3, and M2 receptor antagonist as well as a non-competitive inhibitor of histamine and bradykinin used to treat spasms of the intestines seen in functional bowel disorder and irritable bowel syndrome. Though it is commonly prescribed, its recommendation may have been based on a small amount of evidence and so its prescription is becoming less favourable.

Dicyclomine was granted FDA approval on 11 May 1950.","Dicyclomine is an antispasmodic and anticholinergic agent used to treat gastrointestinal spasm, irritable bowel syndrome (IBS), nausea/vomiting due to pregnancy or chemotherapy, motion sickness, and postoperative nausea/vomiting. It has also been investigated for use in the treatment of Alzheimer's disease. Dicyclomine is a racemate consisting of d- and l-enantiomers with approximately equal amounts of each present in commercially available products.

Dicyclomine was granted FDA approval on 24 September 1968.",0.9742417000234127,,0.3888888888888889,0.16901408450704225,0.2916666666666667,0.8437119,0.84642893,0.8450682
20,drugbank-description,QLoRA Llama-3.2,What is Dicyclomine?,"Dicyclomine is a muscarinic M1, M3, and M2 receptor antagonist as well as a non-competitive inhibitor of histamine and bradykinin used to treat spasms of the intestines seen in functional bowel disorder and irritable bowel syndrome. Though it is commonly prescribed, its recommendation may have been based on a small amount of evidence and so its prescription is becoming less favourable.

Dicyclomine was granted FDA approval on 11 May 1950.","Dicyclomine is an antimuscarinic agent used to treat various types of pain and pruritus. It has also been investigated as a treatment for hypertension, irritable bowel syndrome, and anxiety disorders. Dicyclomine is available in oral tablets, capsules, injections, and intramuscularly administered formulations.",0.44966750001185574,,0.3539823008849558,0.10810810810810811,0.21238938053097345,0.8627739,0.8240875,0.84298706
21,drugbank-side_effects,GPT-5.5,What are the side effects of Povidone?,"Oral LD50 in mouse, rat, and rabbit are >40 mg/kg, 100 mg/kg, and 1040 mg/kg, respectively [MSDS]. No cases of overdose in humans have been reported.","Povidone is usually an inactive ingredient or part of povidone‑iodine antiseptic products. Most side effects are local, such as burning, stinging, redness, itching, dryness, irritation, or rash where it is applied. In eye preparations, it may cause temporary blurred vision or mild irritation.

Rarely, allergic reactions can occur, with swelling, hives, severe rash, trouble breathing, or dizziness. With povidone‑iodine used over large areas, deep wounds, burns, or for long periods, iodine absorption can rarely affect the thyroid or kidneys, especially in infants or people with thyroid disease.",7.37852239998756,,0.06779661016949153,0.0,0.03389830508474576,0.7556899,0.77249444,0.76399976
21,drugbank-side_effects,QLoRA Qwen,What are the side effects of Povidone?,"Oral LD50 in mouse, rat, and rabbit are >40 mg/kg, 100 mg/kg, and 1040 mg/kg, respectively [MSDS]. No cases of overdose in humans have been reported.","Povidone is generally well tolerated and it has been shown to be non-toxic in animal studies. The oral LD50 of povidone in rats was >10,000 mg/kg [MSDS]. There have been no reports of overdose with povidone. In the event of an overdose, supportive treatment should be initiated as clinically indicated.",0.7503223999810871,,0.36585365853658536,0.1,0.2682926829268293,0.82733136,0.87956667,0.85264975
21,drugbank-side_effects,QLoRA Llama-3.2,What are the side effects of Povidone?,"Oral LD50 in mouse, rat, and rabbit are >40 mg/kg, 100 mg/kg, and 1040 mg/kg, respectively [MSDS]. No cases of overdose in humans have been reported.","Povidone is an antiseptic used in various medical preparations as an adjunct to other antimicrobial agents. It has been shown to cause irritation and allergic reactions, including anaphylaxis. The LD50 value for mice given intravenous povidone is reported to be 10 mg/kg [MSDS].",0.39193290000548586,,0.2191780821917808,0.02816901408450704,0.136986301369863,0.8105928,0.8545257,0.8319797
22,bioasq,GPT-5.5,What are the observations regarding telomere integrity and function in Fanconi anemia?,"In Fanconi anemia patients, a higher rate of breakage at TTAGGG sequences in vivo is causing telomere erosion in differentiated cells. Moreover, it has been demonstrated that αIISp is important for telomere maintenance after DNA damage due to interstrand cross-links (ICL), localizing to telomeres in S phase after ICL damage where it has enhanced association with TRF1 and TRF2 and is required for recruitment of the ICL repair protein, XPF, to damage-induced foci at telomeres. In telomerase-positive normal cells depleted of αIISp by siRNA or in Fanconi anemia, complementation group A (FANCA) cells, where αIISp levels are 35-40% of normal, ICL damage results in failure of XPF to localize to telomeres, with markedly increased telomere dysfunction-induced foci, and catastrophic loss of telomeres.

A higher frequency of extra-chromosomic TTAGGG signals and of chromosome ends with undetectable TTAGGG repeats was observed in FA cells by fluorescence in situ hybridization (FISH), suggesting intensive breakage at telomeric sequences. This was proven by measuring the frequency of excess of telomeric signals per cell, which was 2.8-fold higher in FAWe now demonstrate that αIISp is also important for telomere maintenance after ICL damage. It localizes to telomeres in S phase after ICL damage where it has enhanced association with TRF1 and TRF2 and is required for recruitment of the ICL repair protein, XPF, to damage-induced foci at telomeres.","In Fanconi anemia (FA), telomere integrity is often compromised: patient blood and marrow cells commonly show abnormally short telomeres for age, increased telomere fragility or loss, and occasional telomere end-to-end associations/fusions. This contributes to chromosomal instability, a hallmark of FA.

Functionally, FA-pathway proteins appear to help protect and replicate telomeric DNA, particularly during replication stress. When the FA pathway is defective, telomeres are more prone to DNA-damage signaling, defective end protection, and genomic rearrangements. Telomere shortening in FA is thought to reflect both intrinsic repair defects and accelerated hematopoietic stem-cell turnover from marrow failure.",19.01955430000089,,0.27794561933534745,0.0303951367781155,0.14501510574018125,0.8246694,0.7872934,0.8055481
22,bioasq,QLoRA Qwen,What are the observations regarding telomere integrity and function in Fanconi anemia?,"In Fanconi anemia patients, a higher rate of breakage at TTAGGG sequences in vivo is causing telomere erosion in differentiated cells. Moreover, it has been demonstrated that αIISp is important for telomere maintenance after DNA damage due to interstrand cross-links (ICL), localizing to telomeres in S phase after ICL damage where it has enhanced association with TRF1 and TRF2 and is required for recruitment of the ICL repair protein, XPF, to damage-induced foci at telomeres. In telomerase-positive normal cells depleted of αIISp by siRNA or in Fanconi anemia, complementation group A (FANCA) cells, where αIISp levels are 35-40% of normal, ICL damage results in failure of XPF to localize to telomeres, with markedly increased telomere dysfunction-induced foci, and catastrophic loss of telomeres.

A higher frequency of extra-chromosomic TTAGGG signals and of chromosome ends with undetectable TTAGGG repeats was observed in FA cells by fluorescence in situ hybridization (FISH), suggesting intensive breakage at telomeric sequences. This was proven by measuring the frequency of excess of telomeric signals per cell, which was 2.8-fold higher in FAWe now demonstrate that αIISp is also important for telomere maintenance after ICL damage. It localizes to telomeres in S phase after ICL damage where it has enhanced association with TRF1 and TRF2 and is required for recruitment of the ICL repair protein, XPF, to damage-induced foci at telomeres.","Telomeres of cells from patients with FA show shortening at a rate faster than that observed in normal human cells, but they are still longer than those of cells from other bone marrow failure syndromes. The most frequently affected genes identified so far are FANCD2, which is essential for sister chromatid cohesion and repair of DNA double-strand breaks (DSBs), and FANCM, a component of the MRE11/RAD50/NBS1 complex that recognizes DSBs and recruits other factors to initiate their repair. The FA cell lines exhibit aneugenic sensitivity to agents that induce DSBs, as well as defects in homologous recombination (HR) based DNA repair. In addition, the FA cell lines are hypersensitive to genotoxic stress due to base damage or replication arrest, and lack HR-based repair of such lesions. The FA cell lines also show a defect in non-homologous end joining (NHEJ), an alternative mechanism for DSB repair that relies on strand invasion by DNA ends and ligation without the need for homology between the two ends.",1.6338049999903888,,0.28500000000000003,0.020100502512562818,0.14500000000000002,0.8108603,0.79313517,0.80189973
22,bioasq,QLoRA Llama-3.2,What are the observations regarding telomere integrity and function in Fanconi anemia?,"In Fanconi anemia patients, a higher rate of breakage at TTAGGG sequences in vivo is causing telomere erosion in differentiated cells. Moreover, it has been demonstrated that αIISp is important for telomere maintenance after DNA damage due to interstrand cross-links (ICL), localizing to telomeres in S phase after ICL damage where it has enhanced association with TRF1 and TRF2 and is required for recruitment of the ICL repair protein, XPF, to damage-induced foci at telomeres. In telomerase-positive normal cells depleted of αIISp by siRNA or in Fanconi anemia, complementation group A (FANCA) cells, where αIISp levels are 35-40% of normal, ICL damage results in failure of XPF to localize to telomeres, with markedly increased telomere dysfunction-induced foci, and catastrophic loss of telomeres.

A higher frequency of extra-chromosomic TTAGGG signals and of chromosome ends with undetectable TTAGGG repeats was observed in FA cells by fluorescence in situ hybridization (FISH), suggesting intensive breakage at telomeric sequences. This was proven by measuring the frequency of excess of telomeric signals per cell, which was 2.8-fold higher in FAWe now demonstrate that αIISp is also important for telomere maintenance after ICL damage. It localizes to telomeres in S phase after ICL damage where it has enhanced association with TRF1 and TRF2 and is required for recruitment of the ICL repair protein, XPF, to damage-induced foci at telomeres.","Telomeres shorten with each cell division due to the end-replication problem of telomerase activity. The shortening of telomeres is associated with premature aging, cancer development, and apoptosis of cells that cannot divide. In Fanconi anemia (FA), telomere shortening was found in early life, but telomere lengthened after FA diagnosis and was restored to normal levels by chemotherapy. Telomerase activity was reduced in FA patients compared to healthy controls. The reduction of telomerase activity may explain the premature aging observed in FA patients. In one study, telomerase activity was not associated with age at diagnosis or survival in FA patients.",0.6681918999820482,,0.2900302114803625,0.0486322188449848,0.15709969788519637,0.82811284,0.78941834,0.80830276
23,drugbank-mechanism_of_action,GPT-5.5,How does Telaprevir work?,"Telaprevir is a NS3/4a protease inhibitor used to inhibit viral HCV replication [FDA Label]. NS3/4a protease is an integral part of viral replication and mediates the cleavage the virally encoded polyprotein to mature proteins (NS4A, NS4B, NS5A and NS5B) [FDA Label]. Telaprevir inhibits NS3/4A with an IC50 of 10nM.","Telaprevir is a direct-acting antiviral drug that works by inhibiting the hepatitis C virus NS3/4A serine protease.

This protease normally cuts the viral polyprotein into functional proteins needed for hepatitis C virus replication. By blocking NS3/4A, telaprevir prevents formation of essential viral proteins, reducing viral replication—especially in hepatitis C genotype 1.",4.409061999991536,,0.3925233644859813,0.11428571428571428,0.2616822429906542,0.87340045,0.8621207,0.86772394
23,drugbank-mechanism_of_action,QLoRA Qwen,How does Telaprevir work?,"Telaprevir is a NS3/4a protease inhibitor used to inhibit viral HCV replication [FDA Label]. NS3/4a protease is an integral part of viral replication and mediates the cleavage the virally encoded polyprotein to mature proteins (NS4A, NS4B, NS5A and NS5B) [FDA Label]. Telaprevir inhibits NS3/4A with an IC50 of 10nM.","Telaprevir is an inhibitor of viral protease in HCV that acts by interfering with the processing of nonstructural protein 5A (NS5A), which normally results in the formation of mature NS5B, a structural and enzymic component of the replication complex. The inhibition of this process prevents the maturation of NS5B, leading to an accumulation of immature viral replication complexes that are more susceptible to protease degradation by telaprevir.",0.9006707000080496,,0.45378151260504207,0.06837606837606838,0.2184873949579832,0.84601474,0.846737,0.8463757
23,drugbank-mechanism_of_action,QLoRA Llama-3.2,How does Telaprevir work?,"Telaprevir is a NS3/4a protease inhibitor used to inhibit viral HCV replication [FDA Label]. NS3/4a protease is an integral part of viral replication and mediates the cleavage the virally encoded polyprotein to mature proteins (NS4A, NS4B, NS5A and NS5B) [FDA Label]. Telaprevir inhibits NS3/4A with an IC50 of 10nM.","Telaprevir is an NS3/4A protease inhibitor used in combination with [DB09209] to treat chronic hepatitis C virus (HCV) infection. HCV is a single-stranded RNA virus that causes acute and chronic liver disease, leading to cirrhosis and hepatocellular carcinoma if left untreated. The NS3/4A protease plays an important role in the processing of HCV nonstructural protein 3 (NS3) and nonstructural protein 4A (NS4A). Telaprevir inhibits viral replication by binding to the active site of the NS3/4A protease, preventing the cleavage of NS3 and NS4A from their respective precursor proteins.",0.7291700999776367,,0.45833333333333326,0.19718309859154928,0.3055555555555556,0.8507379,0.8774437,0.86388445
24,drugbank-mechanism_of_action,GPT-5.5,How does Mecasermin rinfabate work?,"Mecasermin rinfabate supplies recombinant-DNA-origin IGF-1 (rhIGF-1) bound to recombinant-DNA-origin IGFBP-3. 80% of IGF-1 is naturally bound to IGFBP-3 so the binding of rhIGF-1 to rhIGFBP-3 increases the half life of rhIGF-1 compared to [DB01277]. rhIGF-1 binds to the Type I IGF-1 receptor. This receptor exerts intra-cellular signaling activity in a number of processes involved in statural growth, including mitogenesis in multiple tissue types, chondrocyte growth and division along cartilage growth plates, and increases in organ growth.","Mecasermin rinfabate is a complex of recombinant human insulin-like growth factor-1 (IGF-1) bound to insulin-like growth factor binding protein-3 (IGFBP-3). It works by replacing or supplementing IGF-1, a hormone that mediates many of growth hormone’s effects.

IGF-1 binds to IGF-1 receptors in tissues, especially growth plates in bones, stimulating cartilage cell growth, bone elongation, and overall tissue growth. The IGFBP-3 component helps carry IGF-1 in the bloodstream, prolongs its half-life, and regulates how much free IGF-1 is available to tissues.",6.878458499995759,,0.4864864864864865,0.15300546448087432,0.2702702702702703,0.8481424,0.83755946,0.8428177
24,drugbank-mechanism_of_action,QLoRA Qwen,How does Mecasermin rinfabate work?,"Mecasermin rinfabate supplies recombinant-DNA-origin IGF-1 (rhIGF-1) bound to recombinant-DNA-origin IGFBP-3. 80% of IGF-1 is naturally bound to IGFBP-3 so the binding of rhIGF-1 to rhIGFBP-3 increases the half life of rhIGF-1 compared to [DB01277]. rhIGF-1 binds to the Type I IGF-1 receptor. This receptor exerts intra-cellular signaling activity in a number of processes involved in statural growth, including mitogenesis in multiple tissue types, chondrocyte growth and division along cartilage growth plates, and increases in organ growth.","Mecasermin rinfabate is a recombinant form of human insulin-like growth factor 1 (IGF-1) that contains two additional amino acids at the C-terminus compared to endogenous IGF-1. The addition of these amino acids increases the affinity of mecasermin rinfabate for the IGF binding protein-1 receptor and improves tissue uptake in skeletal muscle, leading to increased growth hormone release inhibition (GHRH).",0.8717847999942023,,0.38709677419354843,0.0784313725490196,0.2580645161290323,0.8333545,0.8168486,0.82501906
24,drugbank-mechanism_of_action,QLoRA Llama-3.2,How does Mecasermin rinfabate work?,"Mecasermin rinfabate supplies recombinant-DNA-origin IGF-1 (rhIGF-1) bound to recombinant-DNA-origin IGFBP-3. 80% of IGF-1 is naturally bound to IGFBP-3 so the binding of rhIGF-1 to rhIGFBP-3 increases the half life of rhIGF-1 compared to [DB01277]. rhIGF-1 binds to the Type I IGF-1 receptor. This receptor exerts intra-cellular signaling activity in a number of processes involved in statural growth, including mitogenesis in multiple tissue types, chondrocyte growth and division along cartilage growth plates, and increases in organ growth.","Mecasermin is an endogenous growth hormone replacement therapy indicated for patients with congenital adrenal hyperplasia (CAH) who have failed to respond adequately to conventional medical management and/or surgery. CAH is a genetic disorder that affects the adrenal glands, impairing the body's ability to produce certain hormones from cholesterol. In CAH, adrenal glands are either underdeveloped or non-functional due to a deficiency of one of several enzymes needed to convert cholesterol into a precursor hormone called cortisol. This results in an overproduction of androgens (male sex hormones) that can cause growth retardation, bone disease, and other signs and symptoms associated with CAH.

Mecasermin is a modified form of endogenous human growth hormone (GH) that has been engineered to have a longer half-life and increased serum levels of the active (active glutamic acid) moiety. The altered structure of mecasermin allows it to be secreted from the liver in a more sustained fashion than endogenous GH, which is naturally produced by the pituitary gland. Mecasermin binds to growth hormone receptors on target cells throughout the body and stimulates production of insulin-like growth factor 1 (IGF-1), which promotes bone growth and other cellular processes that are important for normal growth and development.

In patients with CAH who have failed to respond adequately to conventional medical management, mecasermin rinfabate is administered via continuous subcutaneous infusion. The effect of this therapy is similar to that seen in patients treated with exogenous GH: increased linear growth velocity and bone age, as well as improved body composition.",1.542750900000101,,0.2312138728323699,0.04651162790697675,0.12138728323699423,0.7802317,0.80998576,0.79483044
25,drugbank-indication,GPT-5.5,What is Iodine used for?,Investigated for use/treatment in breast disorders (unspecified) and pain (acute or chronic).,"Iodine is an essential mineral the body uses to make thyroid hormones, which regulate metabolism, growth, brain development, and energy use. It is added to salt and used in supplements to prevent or treat iodine deficiency and goiter.

Medically, iodine is also used as an antiseptic for skin and wound cleaning, commonly as povidone-iodine. Radioactive iodine is used to diagnose and treat some thyroid conditions, such as hyperthyroidism and certain thyroid cancers. Iodine-containing compounds are also used in some imaging contrast dyes, and potassium iodide can help protect the thyroid after certain types of radiation exposure.",5.75376769999275,,0.09009009009009009,0.0,0.07207207207207207,0.74509156,0.7828735,0.7635154
25,drugbank-indication,QLoRA Qwen,What is Iodine used for?,Investigated for use/treatment in breast disorders (unspecified) and pain (acute or chronic).,"Iodine is indicated to be used as an adjunct in the treatment of goiter due to iodide or selenium deficiency and to prevent endemic goiter due to iodide deficiency [FDA Label]. It is also indicated to treat hypothyroidism, caused by thyroidectomy or subtotal thyroidectomy, surgical removal of a portion of the thyroid gland, or primary destruction of the thyroid gland due to trauma.",0.8115150999801699,,0.13157894736842105,0.0,0.10526315789473684,0.7671831,0.7953348,0.7810054
25,drugbank-indication,QLoRA Llama-3.2,What is Iodine used for?,Investigated for use/treatment in breast disorders (unspecified) and pain (acute or chronic).,"Iodine is indicated as an adjunct to cholecystography in the diagnosis of gallstones and cholecystitis. It may be used alone or with other agents, such as barium, to produce visualization of the biliary tract.",0.3270782000035979,,0.1702127659574468,0.0,0.12765957446808512,0.77516323,0.80218005,0.78844035
26,drugbank-indication,GPT-5.5,What is Moxidectin used for?,"Moxidectin is indicated for the treatment of river blindness, also called onchocerciasis, in patients aged 12 years and older. River blindness is caused by a parasitic worm Onchocerca volvulus and it is manifested as severe itching, disfiguring skin conditions and visual impairment caused by the worm's larvae. 

The transmission of Onchocerca volvulus is performed person to person by black flies that breed in fast-flowing rivers in sub-Saharan Africa, Yemen and South and Central America. The larvae released by the adult parasite invade skin and eyes where they can produce the severe disease manifestations.","Moxidectin is an antiparasitic medication. In humans, it is used to treat **onchocerciasis**, also called **river blindness**, caused by the worm *Onchocerca volvulus*. It mainly kills the parasite’s immature forms, called microfilariae.

It is also widely used in veterinary medicine to prevent or treat parasites such as heartworm, intestinal worms, mites, and some external parasites in animals.",5.8494621999852825,,0.35064935064935066,0.11842105263157894,0.2337662337662338,0.8394078,0.82672715,0.8330192
26,drugbank-indication,QLoRA Qwen,What is Moxidectin used for?,"Moxidectin is indicated for the treatment of river blindness, also called onchocerciasis, in patients aged 12 years and older. River blindness is caused by a parasitic worm Onchocerca volvulus and it is manifested as severe itching, disfiguring skin conditions and visual impairment caused by the worm's larvae. 

The transmission of Onchocerca volvulus is performed person to person by black flies that breed in fast-flowing rivers in sub-Saharan Africa, Yemen and South and Central America. The larvae released by the adult parasite invade skin and eyes where they can produce the severe disease manifestations.","Moxidectin is indicated to treat strongyloidiasis in patients 12 years of age and older with or without intestinal obstruction [FDA Label]. It is also indicated as an adjunctive treatment for the intermittent self-administered treatment of pubertal and adult patients with chronic strongyloidiasis, including those with intestinal obstruction [FDA Label].

Moxidectin may be used in combination with ivermectin to treat strongyloidiasis caused by Strongyloides stercoralis infection in patients aged two years and older.",0.9776036999828648,,0.31952662721893493,0.13173652694610777,0.21301775147928995,0.83572185,0.79836315,0.81661546
26,drugbank-indication,QLoRA Llama-3.2,What is Moxidectin used for?,"Moxidectin is indicated for the treatment of river blindness, also called onchocerciasis, in patients aged 12 years and older. River blindness is caused by a parasitic worm Onchocerca volvulus and it is manifested as severe itching, disfiguring skin conditions and visual impairment caused by the worm's larvae. 

The transmission of Onchocerca volvulus is performed person to person by black flies that breed in fast-flowing rivers in sub-Saharan Africa, Yemen and South and Central America. The larvae released by the adult parasite invade skin and eyes where they can produce the severe disease manifestations.","Moxidectin is indicated for use as an adjunctive therapy in the treatment of flea infestations caused by the following species: Ctenochirus capitatus (pavement dog flea), Dermatophagoides mites, and Larva migrans. It is also used to prevent flea infestations in patients with severe asthma or for whom other options are not available. Moxidectin is not indicated for use as an oral antiparasitic agent.",0.5258535000029951,,0.27848101265822783,0.11538461538461538,0.189873417721519,0.81586605,0.7908102,0.8031428
27,drugbank-side_effects,GPT-5.5,What are the side effects of Zopiclone?,"Rare individual instances of fatal outcomes following overdose with racemic zopiclone have been reported in European postmarketing reports, most often associated with overdose with other CNS-depressant agent. Signs and symptoms of overdose effects of CNS depressants can be expected to present as exaggerations of the pharmacological effects noted in preclinical testing.","Common side effects of zopiclone include a bitter or metallic taste, dry mouth, drowsiness, dizziness, headache, nausea, and feeling groggy or less alert the next day. It can also affect coordination, memory, concentration, and reaction time, increasing the risk of falls or accidents.

Less common but important side effects include confusion, mood changes, hallucinations, worsening depression, allergic reactions, and unusual sleep behaviours such as sleepwalking, sleep-driving, or eating while not fully awake. Regular use can lead to tolerance, dependence, and withdrawal symptoms if stopped suddenly, such as rebound insomnia, anxiety, sweating, tremor, or agitation.",5.0056676999956835,,0.163265306122449,0.013793103448275862,0.12244897959183673,0.7660663,0.79440033,0.7799761
27,drugbank-side_effects,QLoRA Qwen,What are the side effects of Zopiclone?,"Rare individual instances of fatal outcomes following overdose with racemic zopiclone have been reported in European postmarketing reports, most often associated with overdose with other CNS-depressant agent. Signs and symptoms of overdose effects of CNS depressants can be expected to present as exaggerations of the pharmacological effects noted in preclinical testing.","The oral LD<sub>50</sub> in rats is 126 mg/kg and in mice is 379 mg/kg.

Zopiclone has been shown to cause fetal harm when administered to pregnant animals. There have not been adequate or well-controlled studies of zopiclone use in pregnant women, so it should only be used during pregnancy if clearly needed [FDA Label]. 

In animal reproduction studies, zopiclone administration to pregnant rats and rabbits at doses up to 30 times the maximum recommended human dose (MRHD) did not result in adverse developmental outcomes. However, there are no adequate or well-controlled studies demonstrating zopiclone's safety and effectiveness in pregnancy [FDA Label]. 

Zopiclone is excreted in breast milk; therefore, caution should be exercised when administering this drug to nursing mothers [FDA Label].

Carcinogenicity studies of zopiclone have not been conducted. Zopiclone was not genotoxic in the in vitro Ames test or in the in vivo mouse micronucleus test [FDA Label].",1.7091751999978442,,0.1339712918660287,0.00966183574879227,0.11483253588516748,0.77318656,0.79257286,0.78275967
27,drugbank-side_effects,QLoRA Llama-3.2,What are the side effects of Zopiclone?,"Rare individual instances of fatal outcomes following overdose with racemic zopiclone have been reported in European postmarketing reports, most often associated with overdose with other CNS-depressant agent. Signs and symptoms of overdose effects of CNS depressants can be expected to present as exaggerations of the pharmacological effects noted in preclinical testing.","The oral LD<sub>50</sub> in rats is 200 mg/kg and in mice is 250 mg/kg. The intramuscular LD<sub>50</sub> in rats is 10 mg/kg and in mice is 5 mg/kg. In a clinical trial of patients with moderate to severe insomnia, there were no reports of overdose in the placebo group (n=11) or the zopiclone group (n=7). However, one patient in the zopiclone group experienced somnolence that was not adequately controlled by dosage reduction and was followed by a return to normal sleep patterns. In the case of an overdose with zopiclone, discontinue treatment and provide supportive care as clinically indicated. There is no specific antidote for zopiclone overdose; however, gastric decontamination may be considered in the event of ingestion of multiple doses or in patients who have ingested a large quantity of alcohol.",0.9297818999912124,,0.20408163265306123,0.020618556701030927,0.11224489795918369,0.7659206,0.7985042,0.7818731
28,bioasq,GPT-5.5,Why are insulators necessary in gene therapy vectors?,"a) They inhibit oncogene activation upon vector integration and b) They maximize the probability of vector expression upon integration in heterochromatinic regions

The presence of insulators in gene therapy vectors is necessary because these elements have the ability to help overcome the problem of position effects, caused due to random integration of the therapeutic genes in the host cell genome.","Insulators are included in gene therapy vectors to make transgene expression safer and more predictable. They can block unwanted interactions between the vector’s enhancer/promoter elements and nearby host genes, reducing the risk of activating proto-oncogenes after integration.

They also help protect the therapeutic gene from surrounding chromatin effects, such as heterochromatin-mediated silencing or position-effect variegation. This can lead to more stable, consistent expression of the therapeutic transgene across different integration sites.",4.401089199993294,,0.4411764705882353,0.10447761194029852,0.22058823529411764,0.83515215,0.85753965,0.84619784
28,bioasq,QLoRA Qwen,Why are insulators necessary in gene therapy vectors?,"a) They inhibit oncogene activation upon vector integration and b) They maximize the probability of vector expression upon integration in heterochromatinic regions

The presence of insulators in gene therapy vectors is necessary because these elements have the ability to help overcome the problem of position effects, caused due to random integration of the therapeutic genes in the host cell genome.","Insulators are sequences that prevent recombination and transcription factor binding, which can lead to off-target integration of viral DNA into host genome.",0.5025861999893095,,0.1686746987951807,0.02469135802469136,0.14457831325301204,0.8422255,0.80427384,0.8228122
28,bioasq,QLoRA Llama-3.2,Why are insulators necessary in gene therapy vectors?,"a) They inhibit oncogene activation upon vector integration and b) They maximize the probability of vector expression upon integration in heterochromatinic regions

The presence of insulators in gene therapy vectors is necessary because these elements have the ability to help overcome the problem of position effects, caused due to random integration of the therapeutic genes in the host cell genome.","Insulators prevent unwanted interactions between the transgene and the promoter or regulatory elements of interest, which could disrupt the expression of the transgene. They can also help to maintain the stability of the transgene within the vector, preventing degradation by immune systems or proteolytic enzymes.",0.3409576999838464,,0.32380952380952377,0.019417475728155338,0.2095238095238095,0.8307329,0.8184128,0.82452685
29,drugbank-mechanism_of_action,GPT-5.5,How does Clozapine work?,"The mechanism of action of clozapine is unknown. However, it has been proposed that the therapeutic efficacy of clozapine in schizophrenia is mediated through antagonism of the dopamine type 2 (D<sub>2</sub>) and the serotonin type 2A (5-HT<sub>2A</sub>) receptors. Clozapine also acts as an antagonist at adrenergic, cholinergic, histaminergic, and other dopaminergic and serotonergic receptors. 

Clozapine demonstrated binding affinity to the following receptors: histamine H1 (Ki 1.1 nM), adrenergic α1A (Ki 1.6 nM), serotonin 5-HT6 (Ki 4 nM), serotonin 5-HT2A (Ki 5.4 nM), muscarinic M1 (Ki 6.2 nM), serotonin 5-HT7 (Ki 6.3 nM), serotonin 5-HT2C (Ki 9.4 nM), dopamine D4 (Ki 24 nM), adrenergic α2A (Ki 90 nM), serotonin 5-HT3 (Ki 95 nM), serotonin 5-HT1A (Ki 120 nM), dopamine D2 (Ki 160 nM), dopamine D1 (Ki 270 nM), dopamine D5 (Ki 454 nM), and dopamine D3 (Ki 555 nM). 

Clozapine acts as an antagonist at other receptors, but with lower potency. Antagonism at receptors other than dopamine and 5HT<sub>2</sub> with similar receptor affinities may explain some of the other therapeutic and side effects of clozapine. Clozapine's antagonism of muscarinic M1-5 receptors may explain its anticholinergic effects. Clozapine's antagonism of histamine H1 receptors may explain the somnolence observed with this drug. Clozapine's antagonism of adrenergic α1 receptors may explain the orthostatic hypotension observed with this drug.","Clozapine is an atypical antipsychotic that works by modulating several neurotransmitter systems in the brain, especially dopamine and serotonin. It blocks dopamine receptors, particularly with relatively weak/fast binding at D2 receptors and stronger activity at D4 receptors, which helps reduce psychotic symptoms such as hallucinations and delusions while causing fewer movement-related side effects than many older antipsychotics.

It also blocks serotonin 5-HT2A receptors, which is thought to improve dopamine balance in different brain pathways and may help with mood, cognition, and negative symptoms of schizophrenia. Clozapine also affects histamine, muscarinic acetylcholine, and alpha-adrenergic receptors, which contributes to effects such as sedation, increased appetite/weight gain, drooling, constipation, and low blood pressure.",7.121570799994515,,0.27042253521126763,0.0339943342776204,0.14084507042253522,0.8159534,0.78628665,0.8008453
